;;;;;Data Destinasi Nasional;;;;;;
No;CODING ACUAN;DEST;SYS-CODE;"3
Code";PROVINSI;KABUPATEN / KOTA;NAMA KAB/KOTA;KECAMATAN;KELURAHAN;kode pos; ZONA 
140;AMI20200;AMI20205;AMI20205;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pekat;Nangamiro;84260;D
141;AMI20200;AMI20205;AMI20205;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pekat;Pekat;84260;D
142;AMI20200;AMI20205;AMI20205;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pekat;Sori Nomo;84260;D
143;AMI20200;AMI20205;AMI20205;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pekat;Sori Tatanga;84260;D
144;AMI20200;AMI20205;AMI20205;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pekat;Tambora;84260;D
145;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Baka Jaya;84251;C
146;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Bara;84251;C
147;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Kandai II;84218;C
148;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Mada Prama;84251;C
149;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Matua;84251;C
150;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Monta Baru;84219;C
151;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Mumbu;84251;C
152;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Nowa;84251;C
153;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Raba Baka;84251;C
154;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Riwo;84251;C
155;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Saneo;84251;C
156;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Sera Kapi;84251;C
157;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Simpasai;84216;C
158;AMI20200;AMI20206;AMI20206;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Woja;Wawonduru;84251;C
159;AMI20200;AMI20207;AMI20207;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Manggalewa;Anamina;84253;C
160;AMI20200;AMI20207;AMI20207;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Manggalewa;Banggo;84253;C
161;AMI20200;AMI20207;AMI20207;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Manggalewa;Doromelo;84253;C
162;AMI20200;AMI20207;AMI20207;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Manggalewa;Kampasi Meci;84253;C
163;AMI20200;AMI20207;AMI20207;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Manggalewa;Kwangko;84253;C
164;AMI20200;AMI20207;AMI20207;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Manggalewa;Lanci Jaya;84253;C
165;AMI20200;AMI20207;AMI20207;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Manggalewa;Nangatumpu;84253;C
166;AMI20200;AMI20207;AMI20207;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Manggalewa;Nusa Jaya;84253;C
167;AMI20200;AMI20207;AMI20207;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Manggalewa;Soriutu;84253;C
168;AMI20200;AMI20207;AMI20207;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Manggalewa;Suka Damai;84253;C
169;AMI20200;AMI20207;AMI20207;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Manggalewa;Tanju;84253;C
170;AMI20200;AMI20207;AMI20207;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Manggalewa;Teka Sire;84253;C
171;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Aik Mual;83511;B
172;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Bunut Baok;83511;B
173;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Gerunung;83514;B
174;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Gonjak;83522;B
175;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Jago;83511;B
176;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Leneng;83515;B
177;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Mekar Damai;83511;B
178;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Mertak Tombok;83511;B
179;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Montong Terep;83511;B
180;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Panji Sari;83516;B
181;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Perapen;83519;B
182;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Praya;83511;B
183;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Renteng;83521;B
184;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Semayan;83512;B
185;AMI20300;AMI20300;AMI20300;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Praya;Tiwugalih;83518;B
186;AMI20300;AMI20301;AMI20301;AMI;Nusa Tenggara Barat (NTB);Kab.;Lombok Tengah ;Batukliang;Aik Darek;83552;B
